001*;USA oder Kanada
0049 38872*;Rehna
0049 38873*;Carlow
0049 38874*;Lützow
0049 38875*;Schlagsdorf b. Gadebusch
0049 38876*;Roggendorf
0049 39000*;Beetzendorf
0049 39001*;Apenburg
0049 39002*;Oebisfelde
0049 39003*;Jübar
0049 39004*;Köckte b. Gardelegen
0049 39005*;Kusey
0049 39006*;Miesterhorst
0049 39007*;Tangeln
0049 39008*;Kunrau
0049 39009*;Badel
0049 3901*;Salzwedel
0049 3902*;Diesdorf
0049 39030*;Brunau
0049 39031*;Dähre
0049 39032*;Mahlsdorf b. Salzwedel
0049 39033*;Wallstawe
0049 39034*;Fleetmark
0049 39035*;Kuhfelde
0049 39036*;Binde
0049 39037*;Pretzier
0049 39038*;Henningen
0049 39039*;Bonese
0049 3904*;Haldensleben
0049 39050*;Bartensleben
0049 39051*;Calvörde
0049 39052*;Erxleben b. Haldensleben
0049 39053*;Süplingen
0049 39054*;Flechtingen
0049 39055*;Hörsingen
0049 39056*;Klüden
0049 39057*;Rätzlingen Sachs-Anh
0049 39058*;Uthmöden
0049 39059*;Wegenstedt
0049 39061*;Weferlingen
0049 39062*;Bebertal
0049 3907*;Gardelegen
0049 39080*;Kalbe Milde
0049 39081*;Kakerbeck Sachs-Anh
0049 39082*;Mieste
0049 39083*;Meßdorf
0049 39084*;Lindstedt
0049 39085*;Zichtau
0049 39086*;Jävenitz
0049 39087*;Jerchel Altmark
0049 39088*;Letzlingen
0049 39089*;Bismark Altmark
0049 3909*;Klötze Altmark
0049 391*;Magdeburg
0049 39200*;Gommern
0049 39201*;Wolmirstedt
0049 39202*;Groß Ammensleben
0049 39203*;Barleben
0049 39204*;Niederndodeleben
0049 39205*;Langenweddingen
0049 39206*;Eichenbarleben
0049 39207*;Colbitz
0049 39208*;Loitsche
0049 39209*;Wanzleben
0049 3921*;Burg b. Magdeburg
0049 39221*;Möckern b. Magdeburg
0049 39222*;Möser
0049 39223*;Theeßen
0049 39224*;Büden
0049 39225*;Altengrabow
0049 39226*;Hohenziatz
0049 3923*;Zerbst
0049 39241*;Leitzkau
0049 39242*;Prödel
0049 39243*;Nedlitz b. Zerbst
0049 39244*;Steutz
0049 39245*;Loburg
0049 39246*;Lindau Anh
0049 39247*;Güterglück
0049 39248*;Dobritz
0049 3925*;Staßfurt
0049 39262*;Güsten Anh
0049 39263*;Unseburg
0049 39264*;Kroppenstedt
0049 39265*;Löderburg
0049 39266*;Förderstedt
0049 39267*;Schneidlingen
0049 39268*;Egeln
0049 3928*;Schönebeck Elbe
0049 39291*;Calbe Saale
0049 39292*;Biederitz
0049 39293*;Dreileben
0049 39294*;Groß Rosenburg
0049 39295*;Zuchau
0049 39296*;Welsleben
0049 39297*;Eickendorf Kr. Schönebeck
0049 39298*;Barby Elbe
0049 3931*;Stendal
0049 39320*;Schinne
0049 39321*;Arneburg
0049 39322*;Tangermünde
0049 39323*;Schönhausen Elbe
0049 39324*;Kläden b. Stendal
0049 39325*;Vinzelberg
0049 39327*;Klietz
0049 39328*;Rochau
0049 39329*;Möringen
0049 3933*;Genthin
0049 39341*;Redekin
0049 39342*;Gladau
0049 39343*;Jerichow
0049 39344*;Güsen
0049 39345*;Parchen
0049 39346*;Tucheim
0049 39347*;Kade
0049 39348*;Klitsche
0049 39349*;Parey Elbe
0049 3935*;Tangerhütte
0049 39361*;Lüderitz
0049 39362*;Grieben b. Tangerhütte
0049 39363*;Angern
0049 39364*;Dolle
0049 39365*;Bellingen b. Stendal
0049 39366*;Kehnert
0049 3937*;Osterburg Altmark
0049 39382*;Kamern
0049 39383*;Sandau Elbe
0049 39384*;Arendsee Altmark
0049 39386*;Seehausen Altmark
0049 39387*;Havelberg
0049 39388*;Goldbeck Altm
0049 39389*;Schollene
0049 39390*;Iden
0049 39391*;Lückstedt
0049 39392*;Rönnebeck Sachs-Anh
0049 39393*;Werben Elbe
0049 39394*;Hohenberg-Krusemark
0049 39395*;Wanzer
0049 39396*;Neukirchen Altmark
0049 39397*;Geestgottberg
0049 39398*;Groß Garz
0049 39399*;Kleinau
0049 39400*;Wefensleben
0049 39401*;Neuwegersleben
0049 39402*;Völpke
0049 39403*;Gröningen Sachs-Anh
0049 39404*;Ausleben
0049 39405*;Hötensleben
0049 39406*;Harbke
0049 39407*;Seehausen Börde
0049 39408*;Hadmersleben
0049 39409*;Eilsleben
0049 3941*;Halberstadt
0049 39421*;Osterwieck
0049 39422*;Badersleben
0049 39423*;Wegeleben
0049 39424*;Schwanebeck Sachs-Anh
0049 39425*;Dingelstedt a. Huy
0049 39426*;Hessen
0049 39427*;Ströbeck
0049 39428*;Pabstorf
0049 3943*;Wernigerode
0049 3944*;Blankenburg Harz
0049 39451*;Wasserleben
0049 39452*;Ilsenburg
0049 39453*;Derenburg
0049 39454*;Elbingerode Harz
0049 39455*;Schierke
0049 39456*;Altenbrak
0049 39457*;Benneckenstein Harz
0049 39458*;Heudeber
0049 39459*;Hasselfelde
0049 3946*;Quedlinburg
0049 3947*;Thale
0049 39481*;Hedersleben b. Aschersleben
0049 39482*;Gatersleben
0049 39483*;Ballenstedt
0049 39484*;Harzgerode
0049 39485*;Gernrode Harz
0049 39487*;Friedrichsbrunn
0049 39488*;Güntersberge
0049 39489*;Straßberg Harz
0049 3949*;Oschersleben Bode
0049 395*;Neubrandenburg
0049 39600*;Zwiedorf
0049 39601*;Friedland
0049 39602*;Kleeth
0049 39603*;Burg Stargard
0049 39604*;Wildberg
0049 39605*;Groß Nemerow
0049 39606*;Glienke
0049 39607*;Kotelow
0049 39608*;Staven
0049 3961*;Altentreptow
0049 3962*;Penzlin
0049 3963*;Woldegk
0049 3964*;Bredenfelde
0049 3965*;Burow
0049 3966*;Cölpin
0049 3967*;Oertzenhof
0049 3968*;Schönbeck
0049 3969*;Siedenbollentin
0049 3971*;Anklam
0049 39721*;Liepen
0049 39722*;Sarnow
0049 39723*;Krien
0049 39724*;Klein Bünzow
0049 39726*;Ducherow
0049 39727*;Spantekow
0049 39728*;Medow
0049 3973*;Pasewalk
0049 39740*;Nechlin
0049 39741*;Jatznick
0049 39742*;Brüssow
0049 39743*;Zerrenthin
0049 39744*;Rothenklempenow
0049 39745*;Hetzdorf
0049 39746*;Krackow
0049 39747*;Züsedom
0049 39748*;Viereck
0049 39749*;Grambow
0049 39751*;Penkun
0049 39752*;Blumenhagen
0049 39753*;Strasburg
0049 39754*;Löcknitz
0049 3976*;Torgelow
0049 39771*;Ueckermünde
0049 39772*;Rothemühl
0049 39773*;Altwarp
0049 39774*;Mönkebude
0049 39775*;Ahlbeck
0049 39776*;Hintersee
0049 39777*;Borkenfriede
0049 39778*;Ferdinandshof
0049 39779*;Eggesin
0049 3981*;Neustrelitz
0049 39820*;Feldberger Seenlandschaft
0049 39821*;Carpin
0049 39822*;Kratzeburg
0049 39823*;Rechlin
0049 39824*;Hohenzieritz
0049 39825*;Wokuhl
0049 39826*;Blankensee
0049 39827*;Schwarz
0049 39828*;Wustrow
0049 39829*;Blankenförde
0049 39831*;Feldberger Seenlandschaft
0049 39832*;Wesenberg
0049 39833*;Mirow
0049 3984*;Prenzlau
0049 39851*;Göritz b. Prenzlau
0049 39852*;Schönermark b. Prenzlau
0049 39853*;Holzendorf b. Prenzlau
0049 39854*;Kleptow
0049 39855*;Parmen-Weggun
0049 39856*;Beenz b. Prenzlau
0049 39857*;Drense
0049 39858*;Bietikow
0049 39859*;Fürstenwerder
0049 39861*;Gramzow b. Prenzlau
0049 39862*;Schmölln b. Prenzlau
0049 39863*;Seehausen b. Prenzlau
0049 3987*;Templin
0049 39881*;Ringenwalde b. Prenzlau
0049 39882*;Gollin
0049 39883*;Groß Dölln
0049 39884*;Haßleben b. Prenzlau
0049 39885*;Jakobshagen
0049 39886*;Milmersdorf
0049 39887*;Gerswalde
0049 39888*;Lychen
0049 39889*;Boitzenburg
0049 3991*;Waren
0049 39921*;Ankershagen
0049 39922*;Dambeck
0049 39923*;Priborn
0049 39924*;Stuer
0049 39925*;Wredenhagen
0049 39926*;Grabowhöfe
0049 39927*;Nossentiner Hütte
0049 39928*;Möllenhagen
0049 39929*;Jabel
0049 39931*;Röbel
0049 39932*;Malchow
0049 39933*;Vollrathsruhe
0049 39934*;Groß Plasten
0049 3994*;Malchin
0049 39951*;Faulenrost
0049 39952*;Grammentin
0049 39953*;Schwinkendorf
0049 39954*;Stavenhagen
0049 39955*;Jürgenstorf
0049 39956*;Neukalen
0049 39957*;Gielow
0049 39959*;Dargun
0049 3996*;Teterow
0049 39971*;Gnoien
0049 39972*;Walkendorf
0049 39973*;Altkalen
0049 39975*;Thürkow
0049 39976*;Groß Bützin
0049 39977*;Jördenstorf
0049 39978*;Groß Roge
0049 3998*;Demmin
0049 39991*;Daberkow
0049 39992*;Görmin
0049 39993*;Hohenmocker
0049 39994*;Metschow
0049 39995*;Nossendorf
0049 39996*;Törpin
0049 39997*;Jarmen
0049 39998*;Loitz
0049 39999*;Tutow
0049 40*;Hamburg
0049 4101*;Pinneberg
0049 4102*;Ahrensburg
0049 4103*;Wedel Holst
0049 4104*;Aumühle b. Hamburg
0049 4105*;Seevetal
0049 4106*;Quickborn Kr. Pinneberg
0049 4107*;Siek Kr. Stormarn
0049 4108*;Rosengarten Kr. Harburg
0049 4109*;Tangstedt Bz Hamburg
0049 4120*;Ellerhoop
0049 4121*;Elmshorn
0049 4122*;Uetersen
0049 4123*;Barmstedt
0049 4124*;Glückstadt
0049 4125*;Seestermühe
0049 4126*;Horst Holst
0049 4127*;Westerhorn
0049 4128*;Kollmar
0049 4129*;Haseldorf
0049 4131*;Lüneburg
0049 4132*;Amelinghausen
0049 4133*;Wittorf Kr. Lüneburg
0049 4134*;Embsen Kr. Lübeburg
0049 4135*;Kirchgellersen
0049 4136*;Scharnebeck
0049 4137*;Barendorf
0049 4138*;Betzendorf Kr. Lüneburg
0049 4139*;Hohnstorf
0049 4140*;Estorf Kr. Stade
0049 4141*;Stade
0049 4142*;Steinkirchen Kr. Stade
0049 4143*;Drochtersen
0049 4144*;Himmelpforten
0049 4146*;Stade-Bützfleth
0049 4148*;Drochtersen-Assel
0049 4149*;Fredenbeck
0049 4151*;Schwarzenbek
0049 4152*;Geesthacht
0049 4153*;Lauenburg Elbe
0049 4154*;Trittau
0049 4155*;Büchen
0049 4156*;Talkau
0049 4158*;Roseburg
0049 4159*;Basthorst
0049 4161*;Buxtehude
0049 4162*;Jork
0049 4163*;Horneburg Niederelbe
0049 4164*;Harsefeld
0049 4165*;Hollenstedt Nordheide
0049 4166*;Ahlerstedt
0049 4167*;Apensen
0049 4168*;Neu Wulmstorf-Elstorf
0049 4169*;Sauensiek
0049 4171*;Winsen Luhe
0049 4172*;Salzhausen
0049 4173*;Wulfsen
0049 4174*;Stelle Kr. Harburg
0049 4175*;Egestorf Nordheide
0049 4176*;Marschacht
0049 4177*;Drage Elbe
0049 4178*;Radbruch
0049 4179*;Winsen-Tönnhausen
0049 4180*;Königsmoor
0049 4181*;Buchholz i. d Nordheide
0049 4182*;Tostedt
0049 4183*;Jesteburg
0049 4184*;Hanstedt Nordheide
0049 4185*;Marxen Auetal
0049 4186*;Buchholz-Trelde
0049 4187*;Holm-Seppensen
0049 4188*;Welle Nordheide
0049 4189*;Undeloh
0049 4191*;Kaltenkirchen Holst
0049 4192*;Bad Bramstedt
0049 4193*;Henstedt-Ulzburg
0049 4194*;Sievershütten
0049 4195*;Hartenholm
0049 4202*;Achim b. Bremen
0049 4203*;Weyhe b. Bremen
0049 4204*;Thedinghausen
0049 4205*;Ottersberg
0049 4206*;Stuhr-Heiligenrode
0049 4207*;Oyten
0049 4208*;Grasberg
0049 4209*;Schwanewede
0049 421*;Bremen
0049 4221*;Delmenhorst
0049 4222*;Ganderkesee
0049 4223*;Ganderkesee-Bookholzberg
0049 4224*;Groß Ippener
0049 4230*;Verden-Walle
0049 4231*;Verden
0049 4232*;Langwedel Kr. Verden
0049 4233*;Blender
0049 4234*;Dörverden
0049 4235*;Langwedel-Etelsen
0049 4236*;Kirchlinteln
0049 4237*;Bendingbostel
0049 4238*;Neddenaverbergen
0049 4239*;Dörverden-Westen
0049 4240*;Syke-Heiligenfelde
0049 4241*;Bassum
0049 4242*;Syke
0049 4243*;Twistringen
0049 4244*;Harpstedt
0049 4245*;Neuenkirchen b. Bassum
0049 4246*;Twistringen-Heiligenloh
0049 4247*;Affinghausen
0049 4248*;Bassum-Neubruchhausen
0049 4249*;Bassum-Nordwohlde
0049 4251*;Hoya
0049 4252*;Bruchhausen-Vilsen
0049 4253*;Asendorf Kr. Diepholz
0049 4254*;Eystrup
0049 4255*;Martfeld
0049 4256*;Hilgermissen
0049 4257*;Schweringen
0049 4258*;Schwarme
0049 4260*;Visselhövede-Wittorf
0049 4261*;Rotenburg Wümme
0049 4262*;Visselhövede
0049 4263*;Scheeßel
0049 4264*;Sottrum Kr. Rotenburg
0049 4265*;Fintel
0049 4266*;Brockel
0049 4267*;Lauenbrück
0049 4268*;Bötersen
0049 4269*;Ahausen-Kirchwalsede
0049 4271*;Sulingen
0049 4272*;Siedenburg
0049 4273*;Kirchdorf b. Sulingen
0049 4274*;Varrel
0049 4275*;Ehrenburg
0049 4276*;Borstel b. Sulingen
0049 4277*;Schwaförden
0049 4281*;Zeven
0049 4282*;Sittensen
0049 4283*;Tarmstedt
0049 4284*;Selsingen
0049 4285*;Rhade b. Zeven
0049 4286*;Gyhum
0049 4287*;Heeslingen-Boitzen
0049 4288*;Horstedt Kr. Rotenburg
0049 4289*;Kirchtimke
0049 4292*;Ritterhude
0049 4293*;Ottersberg-Fischerhude
0049 4294*;Riede Kr. Verden
0049 4295*;Emtinghausen
0049 4296*;Schwanewede-Aschwarden
0049 4297*;Ottersberg-Posthausen
0049 4298*;Lilienthal
0049 4302*;Kirchbarkau
0049 4303*;Schlesen
0049 4305*;Westensee
0049 4307*;Raisdorf
0049 4308*;Schwedeneck
0049 431*;Kiel
0049 4320*;Heidmühlen
0049 4321*;Neumünster
0049 4322*;Bordesholm
0049 4323*;Bornhöved
0049 4324*;Brokstedt
0049 4326*;Wankendorf
0049 4327*;Großenaspe
0049 4328*;Rickling
0049 4329*;Langwedel Holst
0049 4330*;Emkendorf
0049 4331*;Rendsburg
0049 4332*;Hamdorf b. Rendsburg
0049 4333*;Erfde
0049 4334*;Bredenbek b. Rendsburg
0049 4335*;Hohn b. Rendsburg
0049 4336*;Owschlag
0049 4337*;Jevenstedt
0049 4338*;Alt Duvenstedt
0049 4339*;Christiansholm
0049 4340*;Achterwehr
0049 4342*;Preetz
0049 4343*;Laboe
0049 4344*;Schönberg Holst
0049 4346*;Gettorf
0049 4347*;Flintbek
0049 4348*;Schönkirchen
0049 4349*;Dänischenhagen
0049 4351*;Eckernförde
0049 4352*;Damp
0049 4353*;Ascheffel
0049 4354*;Fleckeby
0049 4355*;Rieseby
0049 4356*;Groß Wittensee
0049 4357*;Sehestedt Eider
0049 4358*;Loose b. Eckernförde
0049 4361*;Oldenburg i. Holst
0049 4362*;Heiligenhafen
0049 4363*;Lensahn
0049 4364*;Dahme
0049 4365*;Heringsdorf
0049 4366*;Grömitz-Cismar
0049 4367*;Großenbrode
0049 4371*;Burg auf Fehmarn
0049 4372*;Westfehmarn
0049 4381*;Lütjenburg
0049 4382*;Wangels
0049 4383*;Grebin
0049 4384*;Selent
0049 4385*;Hohenfelde b. Kiel
0049 4392*;Nortorf b. Neumünster
0049 4393*;Boostedt
0049 4394*;Bokhorst
0049 4401*;Brake Unterweser
0049 4402*;Rastede
0049 4403*;Bad Zwischenahn
0049 4404*;Elsfleth
0049 4405*;Edewecht
0049 4406*;Berne
0049 4407*;Wardenburg
0049 4408*;Hude Oldb
0049 4409*;Westerstede-Ocholt
0049 441*;Oldenburg (Oldenburg)
0049 4421*;Wilhelmshaven
0049 4422*;Sande Kr. Friesl
0049 4423*;Fedderwarden
0049 4425*;Wangerland-Hooksiel
0049 4426*;Wangerland-Horumersiel
0049 4431*;Wildeshausen
0049 4432*;Dötlingen-Brettorf
0049 4433*;Dötlingen
0049 4434*;Colnrade
0049 4435*;Großenkneten
0049 4441*;Vechta
0049 4442*;Lohne Oldb
0049 4443*;Dinklage
0049 4444*;Goldenstedt
0049 4445*;Visbek
0049 4446*;Bakum Kr. Vechta
0049 4447*;Vechta-Langförden
0049 4451*;Varel
0049 4452*;Zetel-Neuenburg
0049 4453*;Zetel
0049 4454*;Jade
0049 4455*;Jade-Schweiburg
0049 4456*;Varel-Altjührden
0049 4458*;Wiefelstede-Spohle
0049 4461*;Jever
0049 4462*;Wittmund
0049 4463*;Wangerland
0049 4464*;Wittmund-Carolinensiel
0049 4465*;Friedeburg
0049 4466*;Wittmund-Ardorf
0049 4467*;Wittmund-Funnix
0049 4468*;Friedeburg-Reepsholt
0049 4469*;Wangerooge
0049 4471*;Cloppenburg
0049 4472*;Lastrup
0049 4473*;Emstek
0049 4474*;Garrel
0049 4475*;Molbergen
0049 4477*;Lastrup-Hemmelte
0049 4478*;Cappeln Oldb
0049 4479*;Molbergen-Peheim
0049 4480*;Ovelgönne-Strückhausen
0049 4481*;Hatten-Sandkrug
0049 4482*;Hatten
0049 4483*;Ovelgönne-Großenmeer
0049 4484*;Hude-Wüsting
0049 4485*;Elsfleth-Huntorf
0049 4486*;Edewecht-Friedrichsfehn
0049 4487*;Großenkneten-Huntlosen
0049 4488*;Westerstede
0049 4489*;Apen
0049 4491*;Friesoythe
0049 4492*;Saterland
0049 4493*;Friesoythe-Gehlenberg
0049 4494*;Bösel b. Friesoythe
0049 4495*;Friesoythe-Thüle
0049 4496*;Friesoythe-Markhausen
0049 4497*;Barßel-Harkebrügge
0049 4498*;Saterland-Ramsloh
0049 4499*;Barßel
0049 4501*;Kastorf Holst
0049 4502*;Lübeck-Travemünde
0049 4503*;Timmendorfer Strand
0049 4504*;Ratekau
0049 4505*;Stockelsdorf-Curau
0049 4506*;Stockelsdorf-Krumbeck
0049 4508*;Krummesse
0049 4509*;Groß Grönau
0049 451*;Lübeck
0049 4521*;Eutin
0049 4522*;Plön
0049 4523*;Malente
0049 4524*;Scharbeutz-Pönitz
0049 4525*;Ahrensbök
0049 4526*;Ascheberg Holst
0049 4527*;Bosau
0049 4528*;Schönwalde a. Bungsberg
0049 4529*;Süsel-Bujendorf
0049 4531*;Bad Oldesloe
0049 4532*;Bargteheide
0049 4533*;Reinfeld Holst
0049 4534*;Steinburg Kr. Stormarn
0049 4535*;Nahe
0049 4536*;Steinhorst Lauenb
0049 4537*;Sülfeld Holst
0049 4539*;Westerau
0049 4541*;Ratzeburg
0049 4542*;Mölln Lauenb
0049 4543*;Nusse
0049 4544*;Berkenthin
0049 4545*;Seedorf Lauenb
0049 4546*;Mustin
0049 4547*;Gudow Lauenb
0049 4550*;Bühnsdorf
0049 4551*;Bad Segeberg
0049 4552*;Leezen
0049 4553*;Geschendorf
0049 4554*;Wahlstedt
0049 4555*;Seedorf b. Bad Segeberg
0049 4556*;Ahrensbök-Gnissau
0049 4557*;Blunk
0049 4558*;Todesfelde
0049 4559*;Wensin
0049 4561*;Neustadt i. Holst
0049 4562*;Grömitz
0049 4563*;Scharbeutz-Haffkrug
0049 4564*;Schashagen
0049 4602*;Freienwill
0049 4603*;Havetoft
0049 4604*;Großenwiehe
0049 4605*;Medelby
0049 4606*;Wanderup
0049 4607*;Janneby
0049 4608*;Handewitt
0049 4609*;Eggebek
0049 461*;Flensburg
0049 4621*;Schleswig
0049 4622*;Taarstedt
0049 4623*;Böklund
0049 4624*;Kropp
0049 4625*;Jübek
0049 4626*;Treia
0049 4627*;Dörpstedt
0049 4630*;Barderup
0049 4631*;Glücksburg Ostsee
0049 4632*;Steinbergkirche
0049 4633*;Satrup
0049 4634*;Husby
0049 4635*;Sörup
0049 4636*;Langballig
0049 4637*;Sterup
0049 4638*;Tarp
0049 4639*;Schafflund
0049 4641*;Süderbrarup
0049 4642*;Kappeln Schlei
0049 4643*;Gelting Angeln
0049 4644*;Karby
0049 4646*;Mohrkirch
0049 4651*;Sylt
0049 4661*;Niebüll
0049 4662*;Leck
0049 4663*;Süderlügum
0049 4664*;Neukirchen b. Niebüll
0049 4665*;Emmelsbüll-Horsbüll
0049 4666*;Ladelund
0049 4667*;Dagebüll
0049 4668*;Klanxbüll
0049 4671*;Bredstedt
0049 4672*;Langenhorn
0049 4673*;Joldelund
0049 4674*;Ockholm
0049 4681*;Wyk auf Föhr
0049 4682*;Amrum
0049 4683*;Oldsum
0049 4684*;Langeneß Hallig
0049 4702*;Sandstedt
0049 4703*;Loxstedt-Donnern
0049 4704*;Drangstedt
0049 4705*;Wremen
0049 4706*;Schiffdorf
0049 4707*;Langen-Neuenwalde
0049 4708*;Ringstedt
0049 471*;Bremerhaven
0049 4721*;Cuxhaven
0049 4722*;Cuxhaven-Altenbruch
0049 4723*;Cuxhaven-Altenwalde
0049 4724*;Cuxhaven-Lüdingworth
0049 4725*;Helgoland
0049 4731*;Nordenham
0049 4732*;Stadland-Rodenkirchen
0049 4733*;Butjadingen-Burhave
0049 4734*;Stadland-Seefeld
0049 4735*;Butjadingen-Stollhamm
0049 4736*;Butjadingen-Tossens
0049 4737*;Stadland-Schwei
0049 4740*;Loxstedt-Dedesdorf
0049 4741*;Nordholz b. Bremerhaven
0049 4742*;Dorum
0049 4743*;Langen b. Bremerhaven
0049 4744*;Loxstedt
0049 4745*;Bederkesa
0049 4746*;Hagen b. Bremerhaven
0049 4747*;Beverstedt
0049 4748*;Stubben b. Bremerhaven
0049 4749*;Schiffdorf-Geestenseth
0049 4751*;Otterndorf
0049 4752*;Neuhaus Oste
0049 4753*;Balje
0049 4754*;Bülkau
0049 4755*;Ihlienworth
0049 4756*;Odisheim
0049 4757*;Wanna
0049 4758*;Nordleda
0049 4761*;Bremervörde
0049 4762*;Kutenholz
0049 4763*;Gnarrenburg
0049 4764*;Gnarrenburg-Klenkendorf
0049 4765*;Ebersdorf b. Bremervörde
0049 4766*;Basdahl
0049 4767*;Bremervörde-Bevern
0049 4768*;Hipstedt
0049 4769*;Bremervörde-Iselersheim
0049 4770*;Wischhafen
0049 4771*;Hemmoor
0049 4772*;Oberndorf Oste
0049 4773*;Lamstedt
0049 4774*;Hechthausen
0049 4775*;Großenwörden
0049 4776*;Osten-Altendorf
0049 4777*;Cadenberge
0049 4778*;Wingst
0049 4779*;Freiburg Elbe
0049 4791*;Osterholz-Scharmbeck
0049 4792*;Worpswede
0049 4793*;Hambergen
0049 4794*;Worpswede-Ostersode
0049 4795*;Garlstedt
0049 4796*;Teufelsmoor
0049 4802*;Wrohm
0049 4803*;Pahlen
0049 4804*;Nordhastedt
0049 4805*;Schafstedt
0049 4806*;Sarzbüttel
0049 481*;Heide Holst
0049 4821*;Itzehoe
0049 4822*;Kellinghusen
0049 4823*;Wilster
0049 4824*;Krempe
0049 4825*;Burg Dithm
0049 4826*;Hohenlockstedt
0049 4827*;Wacken
0049 4828*;Lägerdorf
0049 4829*;Wewelsfleth
0049 4830*;Süderhastedt
0049 4832*;Meldorf
0049 4833*;Wesselburen
0049 4834*;Büsum
0049 4835*;Albersdorf Holst
0049 4836*;Hennstedt Dithm
0049 4837*;Neuenkirchen Dithm
0049 4838*;Tellingstedt
0049 4839*;Wöhrden Dithm
0049 4841*;Husum Nordsee
0049 4842*;Nordstrand
0049 4843*;Viöl
0049 4844*;Pellworm
0049 4845*;Ostenfeld b. Husum
0049 4846*;Hattstedt
0049 4847*;Oster-Ohrstedt
0049 4848*;Rantrum
0049 4849*;Hooge Hallig
0049 4851*;Marne
0049 4852*;Brunsbüttel
0049 4853*;St. Michaelisdonn
0049 4854*;Friedrichskoog
0049 4855*;Eddelak
0049 4856*;Kronprinzenkoog
0049 4857*;Barlt
0049 4858*;St. Margarethen Holst
0049 4859*;Windbergen
0049 4861*;Tönning
0049 4862*;Garding
0049 4863*;St. Peter-Ording
0049 4864*;Oldenswort
0049 4865*;Osterhever
0049 4871*;Hohenwestedt
0049 4872*;Hanerau-Hademarschen
0049 4873*;Aukrug
0049 4874*;Todenbüttel
0049 4875*;Stafstedt
0049 4876*;Reher Holst
0049 4877*;Hennstedt b. Itzehoe
0049 4881*;Friedrichstadt
0049 4882*;Lunden
0049 4883*;Süderstapel
0049 4884*;Schwabstedt
0049 4885*;Bergenhusen
0049 4892*;Schenefeld
0049 4893*;Hohenaspe
0049 4902*;Jemgum-Ditzum
0049 4903*;Wymeer
0049 491*;Leer Ostfries
0049 4920*;Wirdum
0049 4921*;Emden
0049 4922*;Borkum
0049 4923*;Krummhörn-Pewsum
0049 4924*;Moormerland-Oldersum
0049 4925*;Hinte
0049 4926*;Krummhörn-Greetsiel
0049 4927*;Krummhörn-Loquard
0049 4928*;Ihlow-Riepe
0049 4929*;Ihlow
0049 4931*;Norden
0049 4932*;Norderney
0049 4933*;Dornum Ostfriesl
0049 4934*;Marienhafe
0049 4935*;Juist
0049 4936*;Großheide
0049 4938*;Hagermarsch
0049 4939*;Baltrum
0049 4941*;Aurich Ostfriesl
0049 4942*;Südbrookmerland
0049 4943*;Großefehn
0049 4944*;Wiesmoor
0049 4945*;Großefehn-Timmel
0049 4946*;Großefehn-Bagband
0049 4947*;Aurich-Ogenbargen
0049 4948*;Wiesmoor-Marcardsmoor
0049 4950*;Holtland
0049 4951*;Weener
0049 4952*;Rhauderfehn
0049 4953*;Bunde
0049 4954*;Moormerland
0049 4955*;Westoverledingen
0049 4956*;Uplengen
0049 4957*;Detern
0049 4958*;Jemgum
0049 4959*;Dollart
0049 4961*;Papenburg
0049 4962*;Papenburg-Aschendorf
0049 4963*;Dörpen
0049 4964*;Rhede Ems
0049 4965*;Surwold
0049 4966*;Neubörger
0049 4967*;Rhauderfehn-Burlage
0049 4968*;Neulehe
0049 4971*;Esens
0049 4972*;Langeoog
0049 4973*;Wittmund-Burhafe
0049 4974*;Neuharlingersiel
0049 4975*;Westerholt Ostfriesl
0049 4976*;Spiekeroog
0049 4977*;Blomberg Ostfriesl
0049 5021*;Nienburg Weser
0049 5022*;Wietzen
0049 5023*;Liebenau Kr. Nienburg
0049 5024*;Rohrsen
0049 5025*;Estorf Weser
0049 5026*;Steimbke
0049 5027*;Linsburg
0049 5028*;Pennigsehl
0049 5031*;Wunstorf
0049 5032*;Neustadt a. Rübenberge
0049 5033*;Wunstorf-Großenheidorn
0049 5034*;Neustadt-Hagen
0049 5035*;Groß Munzel
0049 5036*;Neustadt-Schneeren
0049 5037*;Bad Rehburg
0049 5041*;Springe
0049 5042*;Bad Münder a. Deister
0049 5043*;Lauenau
0049 5044*;Springe-Eldagsen
0049 5045*;Springe-Bennigsen
0049 5051*;Bergen Kr. Celle
0049 5052*;Hermannsburg
0049 5053*;Faßberg-Müden
0049 5054*;Bergen-Sülze
0049 5055*;Faßberg
0049 5056*;Winsen-Meißendorf
0049 5060*;Bodenburg
0049 5062*;Holle b. Hildesheim
0049 5063*;Bad Salzdetfurth
0049 5064*;Groß Düngen
0049 5065*;Sibbesse
0049 5066*;Sarstedt
0049 5067*;Bockenem
0049 5068*;Elze Leine
0049 5069*;Nordstemmen
0049 5071*;Schwarmstedt
0049 5072*;Neustadt-Mandelsloh
0049 5073*;Neustadt-Esperke
0049 5074*;Rodewald
0049 5082*;Langlingen
0049 5083*;Hohne b. Celle
0049 5084*;Hambühren
0049 5085*;Burgdorf-Ehlershausen
0049 5086*;Celle-Scheuen
0049 5101*;Pattensen
0049 5102*;Laatzen
0049 5103*;Wennigsen Deister
0049 5105*;Barsinghausen
0049 5108*;Gehrden Han
0049 5109*;Ronnenberg
0049 511*;Hannover
0049 5121*;Hildesheim
0049 5123*;Schellerten
0049 5126*;Algermissen
0049 5127*;Harsum
0049 5128*;Hohenhameln
0049 5129*;Söhlde
